Module	Transcript_Id	Locus_Tag	GeneName	Expression_Fold_Change	Expression_Pvalue	KO_Id	COG	FoldChange_Module	FisherTest_Module	COG_Category
4	AAG05811	PA2423	-	7.46	0.2	-	COG3617	1.4572993477027796	1.6933432108088877e-06	Transcription
4	AAG05821	PA2433	-	23.46	0.08	-	-	1.4572993477027796	1.6933432108088877e-06	-
4	AAG05952	PA2564	-	4.19	0.28	K00598	COG4106	1.4572993477027796	1.6933432108088877e-06	General function prediction only
4	AAG05953	PA2565	-	5.69	0.06	-	-	1.4572993477027796	1.6933432108088877e-06	-
4	AAG06109	PA2721	-	4.28	0.12	-	COG3865	1.4572993477027796	1.6933432108088877e-06	Function unknown
4	AAG06134	PA2746	-	5.55	0.011	-	-	1.4572993477027796	1.6933432108088877e-06	-
4	AAG06135	PA2747	-	4.69	0.27	-	-	1.4572993477027796	1.6933432108088877e-06	-
4	AAG06308	PA2920	-	4	0.035	K03406	COG0840	1.4572993477027796	1.6933432108088877e-06	Cell motility and secretion / Signal transduction mechanisms
4	AAG06430	PA3042	-	4.65	0.13	-	-	1.4572993477027796	1.6933432108088877e-06	-
4	AAG06662	PA3274	-	27.28	0.27	-	-	1.4572993477027796	1.6933432108088877e-06	-
4	AAG06714	PA3326	-	7.17	0.075	K01358	COG0740	1.4572993477027796	1.6933432108088877e-06	Posttranslational modification, protein turnover, chaperones / Intracellular trafficking and secretion
4	AAG06749	PA3361	lecB	39.39	0.13	-	-	1.4572993477027796	1.6933432108088877e-06	-
4	AAG06759	PA3371	-	11.43	0.16	-	-	1.4572993477027796	1.6933432108088877e-06	-
4	AAG06866	PA3478	rhlB	65.01	0.01	-	COG1819	1.4572993477027796	1.6933432108088877e-06	Carbohydrate transport and metabolism / Signal transduction mechanisms
4	AAG06867	PA3479	rhlA	45.51	0.057	-	COG0596	1.4572993477027796	1.6933432108088877e-06	General function prediction only
4	AAG06957	PA3569	mmsB	5.46	0.082	K00020	COG2084	1.4572993477027796	1.6933432108088877e-06	Lipid metabolism
4	AAG07079	PA3691	-	43.59	0.011	-	-	1.4572993477027796	1.6933432108088877e-06	-
4	AAG07111	PA3724	lasB	13	0.22	K01399	COG3227	1.4572993477027796	1.6933432108088877e-06	Amino acid transport and metabolism
4	AAG07404	PA4017	-	5.21	0.057	-	COG0702	1.4572993477027796	1.6933432108088877e-06	Cell envelope biogenesis, outer membrane / Carbohydrate transport and metabolism
4	AAG07598	PA4211	-	31.19	0.13	-	-	1.4572993477027796	1.6933432108088877e-06	-
4	AAG07605	PA4217	phzS	10.38	0.02	-	COG0654	1.4572993477027796	1.6933432108088877e-06	Coenzyme metabolism / Energy production and conversion
4	AAG07682	PA4294	-	16.31	0.047	-	COG4961	1.4572993477027796	1.6933432108088877e-06	Intracellular trafficking and secretion
4	AAG07693	PA4305	rcpC	6.88	0.01	K02279	COG3745	1.4572993477027796	1.6933432108088877e-06	Intracellular trafficking and secretion
4	AAG07700	PA4312	-	4.35	0.14	K06986	COG3233	1.4572993477027796	1.6933432108088877e-06	General function prediction only
4	AAG07963	PA4575	-	4.7	0.036	-	-	1.4572993477027796	1.6933432108088877e-06	-
4	AAG08038	PA4651	-	4.07	0.12	K07346	COG3121	1.4572993477027796	1.6933432108088877e-06	Cell motility and secretion / Intracellular trafficking and secretion
4	AAG08088	PA4702	-	5.08	0.038	-	-	1.4572993477027796	1.6933432108088877e-06	-
4	AAG08089	PA4703	-	4.72	0.035	-	COG3070	1.4572993477027796	1.6933432108088877e-06	Transcription
4	AAG08125	PA4739	-	6.1	0.15	K04065	COG2823	1.4572993477027796	1.6933432108088877e-06	General function prediction only
4	AAG08167	PA4781	-	8.41	0.038	K07814	COG3437	1.4572993477027796	1.6933432108088877e-06	Transcription / Signal transduction mechanisms
4	AAG08261	PA4876	osmE	13.03	0.043	K04064	-	1.4572993477027796	1.6933432108088877e-06	-
4	AAG08845	PA5460	-	5.71	0.048	-	COG5457	1.4572993477027796	1.6933432108088877e-06	Function unknown
5	AAG03974	PA0585	-	10.93	0.082	-	-	1.107869559358577	0.14057547506220275	-
5	AAG04067	PA0678	-	4.7	0.37	K02457	COG2165	1.107869559358577	0.14057547506220275	Cell motility and secretion / Intracellular trafficking and secretion
5	AAG04070	PA0681	-	6.43	0.018	K02456	COG2165	1.107869559358577	0.14057547506220275	Cell motility and secretion / Intracellular trafficking and secretion
5	AAG04077	PA0688	-	5.37	0.012	-	COG0226	1.107869559358577	0.14057547506220275	Inorganic ion transport and metabolism
5	AAG04231	PA0842	-	6.15	0.023	-	COG0438	1.107869559358577	0.14057547506220275	Cell envelope biogenesis, outer membrane
5	AAG04647	PA1258	-	4.77	0.39	K02029	COG0765	1.107869559358577	0.14057547506220275	Amino acid transport and metabolism
5	AAG04648	PA1259	-	5.77	0.079	K09123	COG1679	1.107869559358577	0.14057547506220275	General function prediction only
5	AAG04995	PA1606	-	4.38	0.029	-	-	1.107869559358577	0.14057547506220275	-
5	AAG05319	PA1931	-	10.41	0.012	K13483	COG2080	1.107869559358577	0.14057547506220275	Energy production and conversion
5	AAG05534	PA2146	-	Inf	0.00000015	K06884	COG3729	1.107869559358577	0.14057547506220275	General function prediction only
5	AAG05572	PA2184	-	4.9	0.086	-	COG3685	1.107869559358577	0.14057547506220275	Function unknown
5	AAG05958	PA2570	lecA	95.69	0.2	-	-	1.107869559358577	0.14057547506220275	-
5	AAG05968	PA2580	-	4.18	0.03	K03923	COG2249	1.107869559358577	0.14057547506220275	General function prediction only
5	AAG06192	PA2804	-	13.15	0.047	-	COG4341	1.107869559358577	0.14057547506220275	General function prediction only
5	AAG06269	PA2881	-	4.12	0.51	-	COG2204	1.107869559358577	0.14057547506220275	Signal transduction mechanisms
5	AAG06757	PA3369	-	9.3	0.086	-	-	1.107869559358577	0.14057547506220275	-
5	AAG06908	PA3520	-	7.23	0.38	K07213	COG2608	1.107869559358577	0.14057547506220275	Inorganic ion transport and metabolism
5	AAG07076	PA3688	-	13.26	0.019	-	-	1.107869559358577	0.14057547506220275	-
5	AAG07306	PA3919	-	12.99	0.033	K07175	COG1875	1.107869559358577	0.14057547506220275	General    function prediction only
5	AAG07684	PA4296	pprB	5.49	0.19	-	COG2197	1.107869559358577	0.14057547506220275	Signal transduction mechanisms / Transcription
5	AAG07739	PA4351	-	4.14	0.23	K00655	COG0204	1.107869559358577	0.14057547506220275	Lipid metabolism
5	AAG08035	PA4648	-	7.99	0.09	-	COG5430	1.107869559358577	0.14057547506220275	Function unknown
5	AAG08036	PA4649	-	6.95	0.15	-	COG5430	1.107869559358577	0.14057547506220275	Function unknown
6	AAG05577	PA2189	-	7.29	0.03	-	COG0740	1.0429164504411002	0.3070994816182044	Posttranslational modification, protein turnover, chaperones / Intracellular trafficking and secretion
6	AAG05656	PA2268	-	4.63	0.12	K07145	COG0504	1.0429164504411002	0.3070994816182044	Nucleotide transport and metabolism
6	AAG06713	PA3325	-	5.52	0.033	K07044	COG3687	1.0429164504411002	0.3070994816182044	General function prediction only
6	AAG07517	PA4130	-	7.75	0.049	K00381	COG0155	1.0429164504411002	0.3070994816182044	Inorganic ion transport and metabolism
6	AAG07518	PA4131	-	10.61	0.035	-	COG0348	1.0429164504411002	0.3070994816182044	Energy production and conversion
6	AAG08490	PA5105	hutC	10.97	0.015	K05836	COG2188	1.0429164504411002	0.3070994816182044	Transcription
7	AAG03744	PA0355	pfpI	18.52	0.023	K05520	COG0693	1.1764097560975608	0.10475322554933131	General function prediction only
7	AAG04605	PA1216	-	4.74	0.32	-	COG4106	1.1764097560975608	0.10475322554933131	General function prediction only
7	AAG04609	PA1220	-	5.26	0.079	-	-	1.1764097560975608	0.10475322554933131	-
7	AAG05288	PA1899	-	61.83	0.032	-	-	1.1764097560975608	0.10475322554933131	-
7	AAG05289	PA1900	-	19.38	0.13	-	-	1.1764097560975608	0.10475322554933131	-
7	AAG05291	PA1902	-	6.57	0.17	-	COG1535	1.1764097560975608	0.10475322554933131	Secondary metabolites biosynthesis, transport, and catabolism
7	AAG05292	PA1903	-	5.7	0.18	K13063	COG0147	1.1764097560975608	0.10475322554933131	Amino acid transport and metabolism / Coenzyme metabolism
7	AAG05293	PA1904	-	11.44	0.15	K06998	COG0384	1.1764097560975608	0.10475322554933131	General function prediction only
7	AAO42617	PA1905	-	7.36	0.26	-	COG0259	1.1764097560975608	0.10475322554933131	Coenzyme metabolism
7	AAG05389	PA2001	atoB	5.41	0.09	K00626	COG0183	1.1764097560975608	0.10475322554933131	Lipid metabolism
7	AAG05455	PA2067	-	8.44	0.28	-	COG0637	1.1764097560975608	0.10475322554933131	General function prediction only
7	AAG05533	PA2145	-	16.86	0.04	-	-	1.1764097560975608	0.10475322554933131	-
7	AAG05803	PA2415	-	21.85	0.12	-	COG4244	1.1764097560975608	0.10475322554933131	Function unknown
7	AAG05804	PA2416	treA	4.3	0.02	K01194	COG1626	1.1764097560975608	0.10475322554933131	Carbohydrate transport and metabolism
7	AAG06165	PA2777	-	10.01	0.015	-	COG2116	1.1764097560975608	0.10475322554933131	Inorganic ion transport and metabolism
7	AAG06933	PA3545	algG	4.97	0.021	-	-	1.1764097560975608	0.10475322554933131	-
7	AAG06937	PA3549	algJ	4.78	0.046	-	-	1.1764097560975608	0.10475322554933131	-
7	AAG06938	PA3550	algF	7.47	0.053	-	-	1.1764097560975608	0.10475322554933131	-
7	AAG08597	PA5212	-	19.28	0.016	-	-	1.1764097560975608	0.10475322554933131	-
8	AAG03956	PA0567	-	6.12	0.42	-	COG0401	3.078225288831836	8.096382566884975e-13	Function unknown
8	AAG04981	PA1592	-	5.19	0.044	-	-	3.078225288831836	8.096382566884975e-13	-
8	AAG06271	PA2883	-	7.09	0.37	-	-	3.078225288831836	8.096382566884975e-13	-
8	AAG06619	PA3231	-	6.48	0.25	-	-	3.078225288831836	8.096382566884975e-13	-
8	AAG08124	PA4738	-	5.64	0.22	-	COG3237	3.078225288831836	8.096382566884975e-13	Function unknown
9	AAG03910	PA0521	-	4.54	0.01	K02164	COG1845	2.286681643132221	1.0920105325753035e-06	Energy production and conversion
9	AAG06783	PA3395	nosY	4.08	0.021	K01992	-	2.286681643132221	1.0920105325753035e-06	-
12	AAG05712	PA2324	-	8.17	0.025	-	COG1960	1.4323170731707318	0.04466317600726901	Lipid metabolism
12	AAG05713	PA2325	-	4.05	0.19	-	COG1960	1.4323170731707318	0.04466317600726901	Lipid metabolism
12	AAG05981	PA2593	qteE	6.09	0.17	-	-	1.4323170731707318	0.04466317600726901	-
14	AAG07535	PA4148	-	15.62	0.11	-	COG1028	1.5962140516927559	0.014745852387753538	Secondary metabolites biosynthesis, transport, and catabolism / General function prediction only
14	AAG07536	PA4149	-	4.15	0.19	-	COG3199	1.5962140516927559	0.014745852387753538	General function prediction only
17	AAG04526	PA1137	-	4.66	0.013	-	COG0604	1.1488376524390245	0.26227498163180246	Energy production and conversion / General function prediction only
17	AAG05874	PA2486	-	5.51	0.069	-	-	1.1488376524390245	0.26227498163180246	-
17	AAG05888	PA2500	-	4.93	0.16	K03449	COG2807	1.1488376524390245	0.26227498163180246	Inorganic ion transport and metabolism
22	AAG05422	PA2034	-	6.75	0.022	K15256	-	3.5179717586649555	3.753604703033228e-09	-
22	AAG07562	PA4175	-	34.28	0.067	-	-	3.5179717586649555	3.753604703033228e-09	-
24	AAG04107	PA0718	-	4.23	0.031	-	-	1.9097560975609755	0.02043306957777757	-
24	AAG05244	PA1855	-	15.08	0.17	-	-	1.9097560975609755	0.02043306957777757	-
24	AAG06876	PA3488	-	4.03	0.34	-	-	1.9097560975609755	0.02043306957777757	-
24	AAG08738	PA5353	glcF	5.2	0.01	K11473	COG0247	1.9097560975609755	0.02043306957777757	Energy production and conversion
30	AAG03861	PA0472	-	5.62	0.099	K03088	COG1595	2.4305986696230604	0.00421183543711482	Transcription
30	AAG07286	PA3899	-	4.38	0.015	K03088	COG1595	2.4305986696230604	0.00421183543711482	Transcription
30	AAG07542	PA4155	-	4.22	0.027	-	COG2141	2.4305986696230604	0.00421183543711482	Energy production and conversion
31	AAG06988	PA3600	-	4.52	0.25	K02919	COG0257	1.002621951219512	0.734867318580404	Translation, ribosomal structure and biogenesis
31	AAG08222	PA4837	-	4.24	0.041	K02014	COG1629	1.002621951219512	0.734867318580404	Inorganic ion transport and metabolism
31	AAG08921	PA5536	-	4.08	0.23	K06204	COG1734	1.002621951219512	0.734867318580404	Signal transduction mechanisms
33	AAG05688	PA2300	chiC	6.78	0.14	-	COG3469	1.3368292682926828	0.311566818699048	Carbohydrate transport and metabolism
33	AAG07465	PA4078	-	4.19	0.11	-	COG3320	1.3368292682926828	0.311566818699048	Secondary metabolites biosynthesis, transport, and catabolism
36	AAG07259	PA3872	narI	4.19	0.027	K00374	COG2181	1.7824390243902437	0.11441585828427221	Energy production and conversion
36	AAG07260	PA3873	narJ	4.99	0.017	K00373	COG2180	1.7824390243902437	0.11441585828427221	Energy production and conversion
36	AAG07302	PA3915	-	5.98	0.33	K03638	COG0521	1.7824390243902437	0.11441585828427221	Coenzyme metabolism
41	AAG07107	PA3720	-	7.31	0.057	-	-	3.0849906191369607	0.0032990874596577177	-
