Locus ID	Gene	Fold Change Expression (Burn vs. Succ.)	P	Fold Change  Expression (Chronic vs. Succ.)	P	KO	COG	COG Category
PA0034	-	0.87	0.93	2.35	0.83	-	COG2197	Signal transduction mechanisms / Transcription
PA0035	trpA	0.19	0.0000024	0.16	0.012	K01695	COG0159	Amino acid transport and metabolism
PA0036	trpB	0.23	0.000011	0.37	0.03	K01696	COG0133	Amino acid transport and metabolism
PA0037	trpI	0.8	0.78	1.39	0.45	-	COG0583	Transcription
PA0038	-	31.99	0.000014	6.46	0.19	K09165	COG3360	Function unknown
PA0039	-	0.76	0.44	0.32	0.035	-	-	-
PA0040	-	0.51	0.072	0.45	0.23	K07326	COG2831	Intracellular trafficking and secretion
PA0041	-	0.55	0.066	1.3	0.46	K15125	COG3210	Intracellular trafficking and secretion
PA0042	-	0.53	0.12	0.19	0.35	-	-	-
PA0043	-	0.65	0.52	0.55	0.91	-	COG3174	Function unknown
PA0044	exoT	4.96	0.000000047	6.18	0.00038	K16636	COG5585	Signal transduction mechanisms
PA0045	-	0.35	0.0072	0.22	0.049	-	COG1462	Cell envelope biogenesis, outer membrane
PA0046	-	0.12	0.0000012	0.06	0.00000012	-	COG4259	Function unknown
PA0047	-	0.2	0.000044	0.18	0.0068	-	COG4380	Function unknown
PA0048	-	2.15	0.22	4.67	0.61	-	-	-
PA0049	-	8.96	0.0002	18.7	0.039	-	-	-
PA0050	-	6.68	0.2	1.99	0.71	-	-	-
PA0051	phzH	3.69	0.096	5.71	0.086	K01953	COG0367	Amino acid transport and metabolism
PA0052	-	18.17	0.0043	3.95	0.78	-	COG1917	Function unknown
PA0053	-	0.64	0.24	0.27	0.1	K07341	COG3654	General function prediction only
PA0054	-	0.9	1	0.45	0.67	K07559	COG1859	Translation, ribosomal structure and biogenesis
PA0055	-	0.66	0.43	0.64	0.88	K09983	COG3812	Function unknown
PA0056	-	0.72	0.87	1.27	0.95	-	COG0583	Transcription
PA0057	-	2.46	0.15	4.42	0.61	-	COG0491	General function prediction only
PA0058	-	1.7	0.54	2.26	0.64	K07396	COG3531	Posttranslational modification, protein turnover, chaperones
PA0059	osmC	23.09	0.0000016	20.09	0.03	K04063	COG1764	Secondary metabolites biosynthesis, transport and catabolism
PA0060	-	2.79	0.25	1.64	0.64	-	-	-
PA0061	-	1.55	0.22	2.55	0.52	-	-	-
PA0062	-	1.09	0.7	4.89	0.23	-	-	-
PA0063	-	0.36	0.007	0.19	0.023	-	COG4324	General function prediction only
PA0064	-	0.47	0.06	0.36	0.22	-	-	-
PA0065	-	0.56	0.36	0.43	0.43	K01091	COG0546	General function prediction only
PA0066	-	0.46	0.049	0.35	0.15	-	COG0663	General function prediction only
PA0067	prlC	1.09	0.74	8.35	0.00073	K01414	COG0339	Amino acid transport and metabolism
PA0068	-	0.5	0.071	0.26	0.12	K07070	COG3529	General function prediction only
PA0069	-	1.88	0.18	0.64	1	-	COG1533	DNA replication, recombination, and repair
PA0070	-	0.2	0.000000056	0.11	7.9E-11	-	-	-
PA0071	-	0.65	0.075	0.22	0.00001	-	COG1262	Function unknown
PA0072	-	0.44	0.048	0.36	0.22	K02004	-	-
PA0073	-	0.65	0.14	0.13	0.02	K02003	COG1136	Defense mechanisms
PA0074	ppkA	0.37	0.0017	0.37	0.023	K11912	COG0515	General function prediction only / Signal transduction mechanisms / Transcription / DNA replication, recombination, and repair
PA0075	pppA	0.54	0.12	0.92	0.92	K11915	COG0631	Signal transduction mechanisms
PA0076	-	0.46	0.054	0.36	0.66	K11890	COG3913	Function unknown
PA0077	-	0.31	0.00016	0.22	0.000024	K11891	COG3523	Intracellular trafficking, secretion, and    vesicular transport
PA0078	-	0.54	0.12	0.58	0.56	K11892	COG3455	Intracellular    trafficking, secretion, and vesicular transport
PA0079	-	0.45	0.024	0.35	0.093	K11893	COG3522	Intracellular trafficking, secretion, and    vesicular transport
PA0080	-	0.55	0.11	0.24	0.0067	K11906	COG3521	Intracellular trafficking, secretion, and    vesicular transport
PA0081	fha1	0.93	0.77	0.47	0.14	K11913	COG3456	Intracellular trafficking, secretion, and vesicular    transport; Signal transduction mechanisms
PA0082	-	0.71	0.4	0.39	0.011	K11902	COG3515	Intracellular trafficking, secretion, and    vesicular transport
PA0083	-	0.35	0.0021	0.13	0.000027	K11901	COG3516	Intracellular trafficking, secretion, and    vesicular transport
PA0084	-	0.38	0.00094	0.17	0.00000005	K11900	COG3517	Intracellular trafficking, secretion, and    vesicular transport
PA0085	hcp1	0.74	0.21	0.11	9.4E-12	K11903	COG3157	Intracellular trafficking, secretion,    and vesicular transport
PA0086	-	0.33	0.0018	0.18	0.00069	K11898	COG4455	General function prediction only
PA0087	-	0.49	0.12	0.23	0.087	K11897	COG3518	Intracellular trafficking, secretion, and    vesicular transport
PA0088	-	0.56	0.17	3.15	0.0078	K11896	COG3519	Intracellular trafficking, secretion, and    vesicular transport
PA0089	-	0.41	0.0097	0.16	0.0036	K11895	COG3520	Intracellular trafficking, secretion, and    vesicular transport
PA0090	-	0.44	0.0095	0.27	0.0016	K11907	COG0542	Posttranslational modification, protein turnover, chaperones
PA0091	-	0.27	0.000018	0.22	0.0012	-	COG3501	Function unknown
PA0092	-	0.26	0.00048	0.23	0.081	-	-	-
PA0093	-	0.32	0.0016	0.3	0.058	-	COG4104	Function unknown
PA0094	-	1.5	0.19	1.31	0.53	-	COG5435	Function unknown
PA0095	-	2.16	0.0091	1.02	0.98	-	COG3501	Function unknown
PA0096	-	1.76	0.44	0.85	1	-	-	-
PA0097	-	2.14	0.22	3.66	0.24	-	COG5351	Function unknown
PA0098	-	2.54	0.19	2.43	0.7	K00647	COG0304	Lipid metabolism / Secondary metabolites biosynthesis, transport, and catabolism
PA0099	-	1.73	0.3	1.92	0.32	-	-	-
PA0100	-	1.08	1	0.49	0.14	-	-	-
PA0101	-	1.47	0.43	1.11	0.96	-	-	-
PA0102	-	1.21	0.65	1.28	1	K01673	COG0288	Inorganic ion transport and metabolism
PA0103	-	9.01	0.00088	74.27	1.7E-26	-	COG0659	Inorganic ion transport and metabolism
PA0104	-	1.36	0.57	3.45	0.3	-	-	-
PA0105	coxB	1.29	0.61	1.95	0.56	K02275	COG1622	Energy production and conversion
PA0106	coxA	2.14	0.077	3.69	0.3	K02274	COG0843	Energy production and conversion
PA0107	-	3.92	0.34	3.11	0.53	K02258	COG3175	Posttranslational modification, protein turnover, chaperones
PA0108	-	2.25	0.19	3.76	0.21	K02276	COG1845	Energy production and conversion
PA0109	-	4.56	0.044	1.45	0.78	-	-	-
PA0110	-	0.93	0.86	0.84	1	-	COG3346	Function unknown
PA0111	-	1.24	0.72	2.18	0.51	-	-	-
PA0112	-	1.04	0.89	2.3	0.51	K02259	COG1612	Posttranslational modification, protein turnover, chaperones
PA0113	-	14.93	1.6E-13	6.33	0.15	K02301	COG0109	Posttranslational modification, protein turnover, chaperones
PA0114	senC	2.6	0.027	0.99	0.89	K07152	COG1999	General function prediction only
PA0115	-	0.21	0.00013	0.22	0.13	K02348	COG2153	General function prediction only
PA0116	-	0.62	0.17	0.33	0.21	-	COG1733	Transcription
PA0117	-	1.26	0.61	2.45	0.36	-	COG1028	Secondary metabolites biosynthesis, transport, and catabolism / General function prediction only
PA0118	-	1.17	0.92	3.25	0.36	-	COG3917	Secondary metabolites biosynthesis, transport, and catabolism
PA0119	-	1.18	0.69	1.51	0.48	K11103	COG1301	Energy production and conversion
PA0120	-	1.96	0.2	2.03	0.43	K05799	COG2186	Transcription
PA0121	-	1.95	0.4	2.21	0.51	-	COG1802	Transcription
PA0122	-	9.37	0.066	1.66	0.73	-	-	-
PA0123	-	1.57	0.15	3.66	0.045	-	COG0583	Transcription
PA0124	-	0.65	0.48	0.29	0.33	-	COG3668	General function prediction only
PA0125	-	2.25	0.038	0.74	0.93	-	COG3905	Transcription
PA0126	-	0.24	0.06	0.2	0.093	-	-	-
PA0127	-	0.63	0.6	0.7	0.9	-	COG5608	Defense mechanisms
PA0128	-	0.64	0.14	0.26	0.0011	K06193	COG2824	Inorganic ion transport and metabolism
PA0129	gabP	3.81	0.53	3.16	0.44	K11735	COG1113	Amino acid transport and metabolism
PA0130	-	2.35	0.32	1.28	0.57	K00140	COG1012	Energy production and conversion
PA0131	-	2.18	0.5	1.5	1	-	-	-
PA0132	-	16.61	0.038	11.28	0.00092	K00822	COG0161	Coenzyme metabolism
PA0133	-	1.01	1	1.27	0.77	-	COG0583	Transcription
PA0134	-	4.5	0.0000018	5.02	0.015	K01487	COG0402	Nucleotide transport and metabolism / General function prediction only
PA0135	-	1.51	0.71	0.2	1	-	-	-
PA0136	-	0.62	0.61	1.22	0.83	K02056	COG3845	General function prediction only
PA0137	-	10.91	2.6E-11	9.76	0.0017	K02057	COG4603	General function prediction only
PA0138	-	1.57	0.51	1.41	0.84	K02057	COG1079	General function prediction only
PA0139	ahpC	0.92	0.62	1.35	0.37	K03386	COG0450	Posttranslational modification, protein turnover, chaperones
PA0140	ahpF	1.11	0.53	3.81	0.00045	K03387	COG3634	Posttranslational modification, protein turnover, chaperones
PA0141	-	1.74	0.16	0.93	1	-	COG2326	Function unknown
PA0142	-	1.09	0.76	1.77	0.44	K03382	COG0402	Nucleotide transport and metabolism / General function prediction only
PA0143	-	1.8	0.42	1.61	0.59	K01239	COG1957	Nucleotide transport and metabolism
PA0144	-	3.4	0.33	4.6	0.37	-	COG3613	Nucleotide transport and metabolism
PA0145	-	1.21	0.82	0.33	0.94	-	COG3613	Nucleotide transport and metabolism
PA0146	-	1.35	0.58	2.63	0.49	K02058	COG1744	General function prediction only
PA0147	-	1.76	0.36	2.28	0.48	K06892	COG3491	General function prediction only
PA0148	-	0.9	0.97	1.3	0.72	K01488	COG1816	Nucleotide transport and metabolism
PA0149	-	0.66	0.89	2.4	0.88	K03088	COG1595	Transcription
PA0150	-	1.15	0.86	2.35	0.37	-	COG3712	Inorganic ion transport and metabolism / Signal transduction mechanisms
PA0151	-	3.6	0.005	6.12	0.12	K02014	COG1629	Inorganic ion transport and metabolism
PA0152	pcaQ	0.63	0.6	1.36	0.94	K02623	COG0583	Transcription
PA0153	pcaH	0.84	1	3.23	0.55	K00449	COG3485	Secondary metabolites biosynthesis, transport, and catabolism
PA0154	pcaG	1.67	0.63	8.93	0.2	K00448	COG3485	Secondary metabolites biosynthesis, transport, and catabolism
PA0155	pcaR	0.51	0.31	1.05	0.96	K02624	COG1414	Transcription
PA0156	-	2.08	0.28	1.24	1	-	COG0845	Cell envelope biogenesis, outer membrane
PA0157	-	1.11	0.95	0.69	0.89	-	COG0845	Cell envelope biogenesis, outer membrane
PA0158	-	1.23	0.88	0.77	0.66	-	COG0841	Defense mechanisms
PA0159	-	0.96	0.84	0.28	0.28	-	COG0583	Transcription
PA0160	-	1.05	1	0.76	0.82	-	-	-
PA0161	-	0.79	0.46	0.49	0.2	-	-	-
PA0162	opdC	0.79	0.79	1.33	1	-	-	-
PA0163	-	0.5	0.14	4.06	0.022	-	COG2207	Transcription
PA0164	-	1.54	0.46	2.45	0.25	K00681	COG0405	Amino acid transport and metabolism
PA0165	-	0.41	0.015	0.27	0.057	-	COG3248	Cell envelope biogenesis, outer membrane
PA0166	-	2.17	0.18	9.68	0.014	K16345	COG2233	Nucleotide transport and metabolism
PA0167	-	0.31	0.00092	0.22	0.061	K09017	COG1309	Transcription
PA0168	-	0.59	0.45	3.64	0.093	-	COG1739	Function unknown
PA0169	-	0.1	0.00000001	0.4	0.041	-	COG2199	Signal    transduction mechanisms
PA0170	-	0.03	2.5E-18	0.06	0.0000027	-	-	-
PA0171	-	0.12	1.6E-09	0.17	0.0081	-	-	-
PA0172	-	0.07	1.1E-14	0.14	0.000026	-	COG2208	Signal transduction mechanisms / Transcription
PA0173	-	2.33	0.4	3.93	0.59	K03412	COG2201	Cell motility and secretion / Signal transduction mechanisms
PA0174	-	11.43	0.002	40.92	0.000039	K03411	COG1871	Cell motility and secretion / Signal transduction mechanisms
PA0175	-	2.61	0.12	0.78	0.94	K00575	COG1352	Cell motility and secretion / Signal transduction mechanisms
PA0176	aer2	6.38	0.0049	1.6	0.41	K03406	COG0840	Cell motility and secretion / Signal transduction mechanisms
PA0177	-	3.86	0.066	4.93	0.26	K03408	COG0835	Cell motility and secretion / Signal transduction mechanisms
PA0178	-	3.72	0.22	1.43	0.54	K03407	COG0643	Cell motility and secretion / Signal transduction mechanisms
PA0179	-	3.12	0.23	0.61	0.76	K03413	COG0784	Signal transduction mechanisms
PA0180	cttP	3.19	0.0024	1.22	0.83	K03406	COG0840	Cell motility and secretion / Signal transduction mechanisms
PA0181	-	1.28	0.71	3.52	0.091	-	COG0583	Transcription
PA0182	-	1.8	0.8	3.77	0.61	K00059	COG1028	Secondary metabolites biosynthesis, transport, and catabolism / General function prediction only
PA0183	atsA	0.94	1	1.02	0.94	K01130	COG3119	Inorganic ion transport and metabolism
PA0184	-	0.57	0.66	1.36	0.98	K15555	COG1116	Inorganic ion transport and metabolism
PA0185	-	2.62	0.16	4.44	0.038	K15554	COG0600	Inorganic ion transport and metabolism
PA0186	-	1.49	0.38	2.65	0.36	K15553	COG0715	Inorganic ion transport and metabolism
PA0187	-	3.34	0.12	4.26	0.29	-	COG2175	Secondary metabolites biosynthesis, transport, and catabolism
PA0188	-	2.61	0.14	2.46	0.94	K07088	COG0679	General function prediction only
PA0189	-	5.5	0.067	34.65	0.042	-	-	-
PA0190	-	2.94	0.21	3.52	0.47	-	COG0671	Lipid metabolism
PA0191	-	0.62	0.66	1.09	0.8	-	COG0583	Transcription
PA0192	-	2.06	0.19	5.35	0.22	K02014	COG1629	Inorganic ion transport and metabolism
PA0193	-	1.16	0.78	5.11	0.34	K03119	COG2175	Secondary metabolites biosynthesis, transport, and catabolism
PA0194	-	0.5	0.84	3.76	0.65	-	COG2175	Secondary metabolites biosynthesis, transport, and catabolism
PA0195	-	0.26	0.0000064	0.18	0.00012	K00324	COG3288	Energy production and conversion
PA0195.1	-	0.19	0.00000013	0.1	0.000000034	K00324	COG3288	Energy production and conversion
PA0196	pntB	0.13	2.4E-11	0.13	0.000000069	K00325	COG1282	Energy production and conversion
PA0197	-	3.93	0.0073	2.03	0.44	K03832	COG0810	Cell envelope biogenesis, outer membrane
PA0198	-	0.73	0.67	1.52	0.76	K03561	COG0811	Intracellular trafficking and secretion
PA0199	-	0.8	0.91	0.89	0.83	K03560	COG0848	Intracellular trafficking and secretion
PA0200	-	0.77	0.27	0.3	0.021	-	-	-
PA0201	-	0.71	0.38	0.11	0.0000023	K07002	COG3545	General function prediction only
PA0202	-	0.83	0.95	3.21	0.69	K01426	COG0154	Translation, ribosomal structure and biogenesis
PA0203	-	2.22	0.46	3.71	0.34	K11069	COG0687	Amino acid transport and metabolism
PA0204	-	1.08	1	1.72	0.96	K11070	COG1177	Amino acid transport and metabolism
PA0205	-	2.35	0.42	6.8	0.26	K11071	COG1176	Amino acid transport and metabolism
PA0206	-	1.56	0.68	3.48	0.37	K11072	COG3842	Amino acid transport and metabolism
PA0207	-	1.62	0.29	2.02	0.81	-	COG0583	Transcription
PA0208	mdcA	2.12	0.11	3.66	0.23	K13929	COG4670	Lipid metabolism
PA0209	-	1.8	0.54	5.17	0.3	K13930	COG1767	Coenzyme metabolism
PA0210	mdcC	1.22	0.81	14.12	0.57	K13931	-	-
PA0211	mdcD	1.98	0.61	1.91	0.77	K13932	COG0777	Lipid metabolism
PA0212	mdcE	1.77	0.49	1.27	0.69	K13933	-	-
PA0213	-	2.34	0.2	5.56	0.45	K13934	-	-
PA0214	-	3.64	0.031	14.2	0.012	K13935	COG0331	Lipid metabolism
PA0215	-	19.42	3.4E-22	6.14	0.016	-	-	-
PA0216	-	1.43	0.55	1.94	0.47	-	-	-
PA0217	-	0.63	0.69	1.6	0.98	K13928	COG0583	Transcription
PA0218	-	1.35	0.44	13.95	5.9E-09	-	COG0583	Transcription
PA0219	-	1.35	0.62	4.09	0.35	K09472	COG1012	Energy production and conversion
PA0220	-	3.67	0.0021	4.25	0.15	-	COG0531	Amino acid transport and metabolism
PA0221	-	1.6	0.3	6.6	0.083	-	COG0161	Coenzyme metabolism
PA0222	-	3.62	0.19	9.39	0.19	K02055	COG0687	Amino acid transport and metabolism
PA0223	-	1.89	0.33	1.86	0.57	K01714	COG0329	Amino acid transport and metabolism / Cell envelope biogenesis, outer membrane
PA0224	-	1.32	0.46	1.27	1	-	COG0235	Carbohydrate transport and metabolism
PA0225	-	0.63	0.28	0.29	0.57	-	COG1917	Function unknown
PA0226	-	0.68	0.61	1.31	0.86	K01039	COG1788	Lipid metabolism
PA0227	-	1.85	0.4	1.02	0.72	K01040	COG2057	Lipid metabolism
PA0228	pcaF	1.18	0.76	1.84	0.74	K07823	COG0183	Lipid metabolism
PA0229	pcaT	1.8	0.15	3.24	0.6	K02625	COG2814	Carbohydrate transport and metabolism
PA0230	pcaB	1.63	0.18	2.48	0.58	K01857	COG0015	Nucleotide transport and metabolism
PA0231	pcaD	0.72	0.81	0.93	1	K01055	COG0596	General function prediction only
PA0232	pcaC	0.81	0.83	1.54	0.85	K01607	COG0599	Function unknown
PA0233	-	2.57	0.14	5.04	0.017	-	COG0583	Transcription
PA0234	-	0.61	0.49	1.21	0.71	-	-	-
PA0235	pcaK	1.3	0.56	4.17	0.43	K08195	-	-
PA0236	-	5.51	0.04	4.87	0.26	-	COG1414	Transcription
PA0237	-	1.54	0.53	3.23	0.42	-	COG0673	General function prediction only
PA0238	-	0.65	0.69	1.75	0.8	-	COG1082	Carbohydrate transport and metabolism
PA0239	-	0.7	0.63	0.77	1	-	COG0697	Carbohydrate transport and metabolism / Amino acid transport and metabolism / General function prediction only
PA0240	-	0.97	0.97	2.43	0.52	-	-	-
PA0241	-	3.87	0.021	11.42	0.019	K08191	COG2271	Carbohydrate transport and metabolism
PA0242	-	3.2	0.2	7.66	0.14	K00457	COG3185	Amino acid transport and metabolism / General function prediction only
PA0243	-	0.51	0.22	0.35	0.34	-	COG1309	Transcription
PA0244	-	0.83	0.98	3.09	0.76	K00014	COG0169	Amino acid transport and metabolism
PA0245	-	0.4	0.16	0.45	0.46	K03786	COG0757	Amino acid transport and metabolism
PA0246	-	0.96	1	2.64	0.27	-	COG2814	Carbohydrate transport and metabolism
PA0247	pobA	2.04	0.12	26.81	0.00000003	K00481	COG0654	Coenzyme metabolism / Energy production and conversion
PA0248	-	0.4	0.027	0.32	0.27	-	COG2207	Transcription
PA0249	-	0.93	0.91	1.49	0.47	-	COG0456	General function prediction only
PA0250	-	1.4	0.44	1.6	0.48	-	COG2905	Signal transduction mechanisms
PA0251	-	4.92	0.019	8.28	0.23	-	-	-
PA0252	-	1.47	0.42	1.1	1	-	-	-
PA0253	-	0.42	0.091	0.37	0.56	-	COG1846	Transcription
PA0254	-	1.29	0.6	3.55	0.23	-	COG0043	Coenzyme metabolism
PA0255	-	1.04	0.83	2.56	0.097	-	COG3619	Function unknown
PA0256	-	1.21	0.91	0.48	0.68	-	-	-
PA0257	-	1.1	0.95	1.91	0.33	K07497	COG2801	DNA replication, recombination, and repair
PA0258	-	1.16	0.96	0.53	0.45	-	-	-
PA0259	-	2.11	0.25	0.64	0.3	-	-	-
PA0260	-	3.13	0.00054	2.25	0.17	-	-	-
PA0261	-	2.97	0.27	1.66	0.65	-	-	-
PA0262	-	2.49	0.37	0.74	0.91	K11904	COG3501	Function unknown
PA0263	hcpC	13.23	0.25	1.34	0.99	K11903	COG3157	Intracellular trafficking, secretion,    and vesicular transport
PA0264	-	0.99	0.89	3.03	0.7	-	-	-
PA0265	gabD	1.25	0.8	1.64	0.34	K14269	COG1012	Energy production and conversion
PA0266	gabT	0.79	0.5	1.99	0.094	K14268	COG0160	Amino acid transport and metabolism
PA0267	-	1.08	0.86	0.76	0.86	-	COG1639	Signal transduction mechanisms
PA0268	-	2.91	0.051	2.83	0.42	K00375	COG1167	Transcription / Amino acid transport and metabolism
PA0269	-	2.57	0.19	2.78	0.43	-	COG2128	Function unknown
PA0270	-	1.83	0.33	1.38	0.65	-	COG1917	Function unknown
PA0271	-	2.49	0.19	4.83	0.67	-	COG1359	Function unknown
PA0272	-	0.81	0.73	0.62	0.65	-	COG0583	Transcription
PA0273	-	2.02	0.3	8.32	0.17	K03449	COG2807	Inorganic ion transport and metabolism
PA0274	-	4.87	0.0077	4.03	0.31	-	-	-
PA0275	-	0.76	0.67	0.8	1	-	COG0664	Signal transduction mechanisms
PA0276	-	29.29	1E-18	14.24	0.0032	-	COG4539	Function unknown
PA0277	-	0.51	0.28	0.4	0.32	K07387	COG0501	Posttranslational modification, protein turnover, chaperones
PA0278	-	0.74	0.59	0.81	1	K07090	-	-
PA0279	-	1.07	0.71	1.72	0.65	-	COG0640	Transcription
PA0280	cysA	0.05	5.5E-11	0.14	0.00003	K02045	COG1118	Inorganic ion transport and metabolism
PA0281	cysW	0.05	0.00016	0.14	0.019	K02047	COG4208	Inorganic ion transport and metabolism
PA0282	cysT	0.09	0.00074	0.1	0.0087	K02046	COG0555	Posttranslational modification, protein turnover, chaperones
PA0283	-	0.09	0.018	0.09	0.047	K02048	COG1613	Inorganic ion transport and metabolism
PA0284	-	0.3	0.086	0.1	0.035	-	COG5583	Function unknown
PA0285	-	0.74	0.5	0.58	0.31	-	COG5001	Signal transduction mechanisms
PA0286	desA	0.42	0.0014	0.3	0.0016	-	COG1398	Lipid metabolism
PA0287	gpuP	1	1	1.85	0.68	K03307	COG0591	Amino acid transport and metabolism / General function prediction only
PA0288	gpuA	2.5	0.12	4.4	0.31	K01480	COG0010	Amino acid transport and metabolism
PA0289	gpuR	0.94	0.91	0.64	0.73	-	COG0583	Transcription
PA0290	-	1.85	0.15	2.58	0.66	-	COG2199	Signal    transduction mechanisms
PA0291	oprE	0.35	0.00012	0.14	9.1E-11	-	-	-
PA0292	aguA	0.56	0.19	0.42	0.24	K10536	COG2957	Amino acid transport and metabolism
PA0293	aguB	1.14	0.97	1.41	0.71	K12251	COG0388	General function prediction only
PA0294	aguR	1.38	0.55	3	0.15	-	COG1309	Transcription
PA0295	-	1.81	0.06	2.88	0.03	K02055	COG0687	Amino acid transport and metabolism
PA0296	spuI	0.74	0.34	0.53	0.36	K01915	COG0174	Amino acid transport and metabolism
PA0297	spuA	1.92	0.043	1.34	0.44	K07010	COG2071	General function prediction only
PA0298	spuB	0.54	0.064	0.47	0.22	K01915	COG0174	Amino acid transport and metabolism
PA0299	spuC	0.93	0.8	1.3	0.68	K12256	COG0161	Coenzyme metabolism
PA0300	spuD	0.3	0.000026	0.21	0.000005	K11073	COG0687	Amino acid transport and metabolism
PA0301	spuE	0.57	0.05	0.26	0.019	K11073	COG0687	Amino acid transport and metabolism
PA0302	spuF	0.47	0.014	0.21	0.008	K11076	COG3842	Amino acid transport and metabolism
PA0303	spuG	0.42	0.0075	0.31	0.075	K11075	COG1176	Amino acid transport and metabolism
PA0304	spuH	0.38	0.0015	0.15	0.00032	K11074	COG1177	Amino acid transport and metabolism
PA0305	-	1.17	0.66	1	0.94	K01434	COG2366	General function prediction only
PA0306	-	1.4	0.48	3.8	0.06	-	COG2207	Transcription
PA0307	-	1.36	0.59	0.9	1	-	-	-
PA0308	-	0.53	0.14	0.48	0.35	-	COG2267	Lipid metabolism
PA0309	-	0.68	0.36	0.47	0.71	-	-	-
PA0310	-	1.79	0.18	1.6	0.49	K07394	COG3751	Posttranslational modification, protein turnover, chaperones
PA0311	-	2.76	0.25	22.37	0.007	-	-	-
PA0312	-	0.95	1	0.47	0.42	-	COG1683	Function unknown
PA0313	-	0.4	0.0089	0.44	0.15	K10009	COG0765	Amino acid transport and metabolism
PA0314	-	0.56	0.074	0.73	0.74	K02424	COG0834	Amino acid transport and metabolism / Signal transduction mechanisms
PA0315	-	0.37	0.0021	0.32	0.016	-	-	-
PA0316	serA	0.27	0.0000044	0.19	0.00000019	K00058	COG0111	Amino acid transport and metabolism
PA0317	-	0.4	0.0019	0.22	0.0000099	-	COG0277	Energy production and conversion
PA0318	-	0.73	0.35	0.61	0.57	-	COG0179	Secondary metabolites biosynthesis, transport, and catabolism
PA0319	-	0.46	0.047	0.74	0.76	-	COG3204	Function unknown
PA0320	-	2.61	0.061	7.91	0.79	-	COG3111	Function unknown
PA0321	-	14.76	0.23	2.88	0.42	-	COG0123	Chromatin structure and dynamics / Secondary metabolites biosynthesis, transport, and catabolism
PA0322	-	2.24	0.16	3.88	0.26	-	COG0531	Amino acid transport and metabolism
PA0323	-	1.92	0.3	3.07	0.45	K11069	COG0687	Amino acid transport and metabolism
PA0324	-	2.07	0.44	10.14	0.18	K11070	COG1177	Amino acid transport and metabolism
