PathwayId	PathwayName	KeggId	Gene	PathwayDescription
00020	Citrate cycle (TCA cycle)	K00161	PA3417	pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1] | (RefSeq) pyruvate dehydrogen
00020	Citrate cycle (TCA cycle)	K00116	PA3452	malate dehydrogenase (quinone) [EC:1.1.5.4] | (RefSeq) mqoA; malate:quinone oxidoreductase
00020	Citrate cycle (TCA cycle)	K00627	PA4152	pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12] | (Ref
00020	Citrate cycle (TCA cycle)	K01676	PA4333	fumarate hydratase, class I [EC:4.2.1.2] | (RefSeq) fumarase
00020	Citrate cycle (TCA cycle)	K01679	PA4470	fumarate hydratase, class II [EC:4.2.1.2] | (RefSeq) fumC1; fumarate hydratase
00020	Citrate cycle (TCA cycle)	K00116	PA4640	malate dehydrogenase (quinone) [EC:1.1.5.4] | (RefSeq) mqoB; malate:quinone oxidoreductase
00020	Citrate cycle (TCA cycle)	K00382	PA4829	dihydrolipoamide dehydrogenase [EC:1.8.1.4] | (RefSeq) lpd3; dihydrolipoamide dehydrogenase
00020	Citrate cycle (TCA cycle)	K00163	PA5015	pyruvate dehydrogenase E1 component [EC:1.2.4.1] | (RefSeq) aceE; pyruvate dehydrogenase subu
00020	Citrate cycle (TCA cycle)	K00627	PA5016	pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12] | (Ref
00020	Citrate cycle (TCA cycle)	K01610	PA5192	phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49] | (RefSeq) pckA; phosphoenolpyruvate ca
00020	Citrate cycle (TCA cycle)	K01960	PA5435	pyruvate carboxylase subunit B [EC:6.4.1.1] | (RefSeq) pyruvate carboxylase subunit B
00020	Citrate cycle (TCA cycle)	K01959	PA5436	pyruvate carboxylase subunit A [EC:6.4.1.1] | (RefSeq) acetyl-CoA carboxylase subunit alpha
00020	Citrate cycle (TCA cycle)	K18118	PA5445	succinyl-CoA:acetate CoA-transferase [EC:2.8.3.18] | (RefSeq) coenzyme A transferase
00030	Pentose phosphate pathway	K01807	PA0330	ribose 5-phosphate isomerase A [EC:5.3.1.6] | (RefSeq) rpiA; ribose-5-phosphate isomerase A
00030	Pentose phosphate pathway	K00615	PA0548	transketolase [EC:2.2.1.1] | (RefSeq) tktA; transketolase
00030	Pentose phosphate pathway	K01624	PA0555	fructose-bisphosphate aldolase, class II [EC:4.1.2.13] | (RefSeq) fda; fructose-1,6-bisphosph
00030	Pentose phosphate pathway	K01783	PA0607	ribulose-phosphate 3-epimerase [EC:5.1.3.1] | (RefSeq) rpe; ribulose-phosphate 3-epimerase
00030	Pentose phosphate pathway	K22345	PA0849	glucosaminate ammonia-lyase [EC:4.3.1.9] | (RefSeq) trxB2; thioredoxin reductase
00030	Pentose phosphate pathway	K11529	PA1499	glycerate 2-kinase [EC:2.7.1.165] | (RefSeq) hypothetical protein
00030	Pentose phosphate pathway	K00852	PA1950	ribokinase [EC:2.7.1.15] | (RefSeq) rbsK; ribokinase
00030	Pentose phosphate pathway	K11441	PA2261	dehydrogluconokinase [EC:2.7.1.13] | (RefSeq) 2-ketogluconate kinase
00030	Pentose phosphate pathway	K00032	PA2263	phosphogluconate 2-dehydrogenase [EC:1.1.1.43] | (RefSeq) 2-hydroxyacid dehydrogenase
00030	Pentose phosphate pathway	K06152	PA2264	gluconate 2-dehydrogenase gamma chain [EC:1.1.99.3] | (RefSeq) hypothetical protein
00030	Pentose phosphate pathway	K06151	PA2265	gluconate 2-dehydrogenase alpha chain [EC:1.1.99.3] | (RefSeq) gluconate dehydrogenase
00030	Pentose phosphate pathway	K00117	PA2290	quinoprotein glucose dehydrogenase [EC:1.1.5.2] | (RefSeq) gcd; glucose dehydrogenase
00030	Pentose phosphate pathway	K00851	PA2321	gluconokinase [EC:2.7.1.12] | (RefSeq) gluconokinase
00030	Pentose phosphate pathway	K00131	PA2323	glyceraldehyde-3-phosphate dehydrogenase (NADP+) [EC:1.2.1.9] | (RefSeq) glyceraldehyde-3-pho
00030	Pentose phosphate pathway	K00616	PA2796	transaldolase [EC:2.2.1.2] | (RefSeq) tal; transaldolase B
00030	Pentose phosphate pathway	K01625	PA3131	2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase [EC:4.1.2
00030	Pentose phosphate pathway	K01625	PA3181	2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase [EC:4.1.2
00030	Pentose phosphate pathway	K01057	PA3182	6-phosphogluconolactonase [EC:3.1.1.31] | (RefSeq) pgl; 6-phosphogluconolactonase
00030	Pentose phosphate pathway	K00036	PA3183	glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363] | (RefSeq) zwf; glucose-6-phospha
00030	Pentose phosphate pathway	K01690	PA3194	phosphogluconate dehydratase [EC:4.2.1.12] | (RefSeq) edd; phosphogluconate dehydratase
00030	Pentose phosphate pathway	K05774	PA3373	ribose 1,5-bisphosphokinase [EC:2.7.4.23] | (RefSeq) hypothetical protein
00030	Pentose phosphate pathway	K00090	PA3896	glyoxylate/hydroxypyruvate/2-ketogluconate reductase [EC:1.1.1.79 1.1.1.81 1.1.1.215] | (RefS
00030	Pentose phosphate pathway	K00948	PA4670	ribose-phosphate pyrophosphokinase [EC:2.7.6.1] | (RefSeq) prs; ribose-phosphate pyrophosphok
00030	Pentose phosphate pathway	K01810	PA4732	glucose-6-phosphate isomerase [EC:5.3.1.9] | (RefSeq) pgi; glucose-6-phosphate isomerase
00030	Pentose phosphate pathway	K03841	PA5110	fructose-1,6-bisphosphatase I [EC:3.1.3.11] | (RefSeq) fbp; fructose-1,6-bisphosphatase
00030	Pentose phosphate pathway	K15778	PA5322	phosphomannomutase / phosphoglucomutase [EC:5.4.2.8 5.4.2.2] | (RefSeq) algC; phosphomannomut
00030	Pentose phosphate pathway	K00036	PA5439	glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363] | (RefSeq) glucose-6-phosphate 1-
00040	Pentose and glucuronate interconversions	K01783	PA0607	ribulose-phosphate 3-epimerase [EC:5.1.3.1] | (RefSeq) rpe; ribulose-phosphate 3-epimerase
00040	Pentose and glucuronate interconversions	K13877	PA1253	2,5-dioxopentanoate dehydrogenase [EC:1.2.1.26] | (RefSeq) semialdehyde dehydrogenase
00040	Pentose and glucuronate interconversions	K00012	PA2022	UDPglucose 6-dehydrogenase [EC:1.1.1.22] | (RefSeq) UDP-glucose 6-dehydrogenase
00040	Pentose and glucuronate interconversions	K00963	PA2023	UTP--glucose-1-phosphate uridylyltransferase [EC:2.7.7.9] | (RefSeq) galU; UTP-glucose-1-phos
00040	Pentose and glucuronate interconversions	K13877	PA2217	2,5-dioxopentanoate dehydrogenase [EC:1.2.1.26] | (RefSeq) aldehyde dehydrogenase
00040	Pentose and glucuronate interconversions	K00854	PA2343	xylulokinase [EC:2.7.1.17] | (RefSeq) mtlY; xylulose kinase
00040	Pentose and glucuronate interconversions	K00012	PA3559	UDPglucose 6-dehydrogenase [EC:1.1.1.22] | (RefSeq) nucleotide sugar dehydrogenase
00051	Fructose and mannose metabolism	K01624	PA0555	fructose-bisphosphate aldolase, class II [EC:4.1.2.13] | (RefSeq) fda; fructose-1,6-bisphosph
00051	Fructose and mannose metabolism	K12661	PA2215	L-rhamnonate dehydratase [EC:4.2.1.90] | (RefSeq) hypothetical protein
00051	Fructose and mannose metabolism	K16011	PA2232	mannose-1-phosphate guanylyltransferase / mannose-6-phosphate isomerase [EC:2.7.7.13 5.3.1.8]
00051	Fructose and mannose metabolism	K00045	PA2342	mannitol 2-dehydrogenase [EC:1.1.1.67] | (RefSeq) mtlD; mannitol dehydrogenase
00051	Fructose and mannose metabolism	K00847	PA2344	fructokinase [EC:2.7.1.4] | (RefSeq) mtlZ; fructokinase
00051	Fructose and mannose metabolism	K00066	PA3540	GDP-mannose 6-dehydrogenase [EC:1.1.1.132] | (RefSeq) algD; GDP-mannose 6-dehydrogenase AlgD
00051	Fructose and mannose metabolism	K19290	PA3541	mannuronan synthase [EC:2.4.1.33] | (RefSeq) alg8; glycosyltransferase alg8
00051	Fructose and mannose metabolism	K19291	PA3542	mannuronan synthase [EC:2.4.1.33] | (RefSeq) alg44; alginate biosynthesis protein Alg44
00051	Fructose and mannose metabolism	K01795	PA3545	mannuronan 5-epimerase [EC:5.1.3.37] | (RefSeq) algG; alginate-c5-mannuronan-epimerase AlgG
00051	Fructose and mannose metabolism	K01729	PA3547	poly(beta-D-mannuronate) lyase [EC:4.2.2.3] | (RefSeq) algL; alginate lyase
00051	Fructose and mannose metabolism	K16011	PA3551	mannose-1-phosphate guanylyltransferase / mannose-6-phosphate isomerase [EC:2.7.7.13 5.3.1.8]
00051	Fructose and mannose metabolism	K02770	PA3560	fructose PTS system EIIBC or EIIC component [EC:2.7.1.202] | (RefSeq) fruA; PTS system fructo
00051	Fructose and mannose metabolism	K00882	PA3561	1-phosphofructokinase [EC:2.7.1.56] | (RefSeq) fruK; 1-phosphofructokinase
00051	Fructose and mannose metabolism	K01803	PA4748	triosephosphate isomerase (TIM) [EC:5.3.1.1] | (RefSeq) tpiA; triosephosphate isomerase
00051	Fructose and mannose metabolism	K03841	PA5110	fructose-1,6-bisphosphatase I [EC:3.1.3.11] | (RefSeq) fbp; fructose-1,6-bisphosphatase
00051	Fructose and mannose metabolism	K15778	PA5322	phosphomannomutase / phosphoglucomutase [EC:5.4.2.8 5.4.2.2] | (RefSeq) algC; phosphomannomut
00051	Fructose and mannose metabolism	K16011	PA5452	mannose-1-phosphate guanylyltransferase / mannose-6-phosphate isomerase [EC:2.7.7.13 5.3.1.8]
00051	Fructose and mannose metabolism	K01711	PA5453	GDPmannose 4,6-dehydratase [EC:4.2.1.47] | (RefSeq) gmd; GDP-mannose 4,6-dehydratase
00051	Fructose and mannose metabolism	K15856	PA5454	GDP-4-dehydro-6-deoxy-D-mannose reductase [EC:1.1.1.281] | (RefSeq) rmd; oxidoreductase Rmd
00052	Galactose metabolism	K01784	PA1384	UDP-glucose 4-epimerase [EC:5.1.3.2] | (RefSeq) galE; UDP-glucose 4-epimerase
00052	Galactose metabolism	K00963	PA2023	UTP--glucose-1-phosphate uridylyltransferase [EC:2.7.7.9] | (RefSeq) galU; UTP-glucose-1-phos
00052	Galactose metabolism	K00845	PA3193	glucokinase [EC:2.7.1.2] | (RefSeq) glk; glucokinase
00052	Galactose metabolism	K01784	PA4068	UDP-glucose 4-epimerase [EC:5.1.3.2] | (RefSeq) epimerase
00052	Galactose metabolism	K15778	PA5322	phosphomannomutase / phosphoglucomutase [EC:5.4.2.8 5.4.2.2] | (RefSeq) algC; phosphomannomut
00053	Ascorbate and aldarate metabolism	K00128	PA1027	aldehyde dehydrogenase (NAD+) [EC:1.2.1.3] | (RefSeq) aldehyde dehydrogenase
00053	Ascorbate and aldarate metabolism	K13877	PA1253	2,5-dioxopentanoate dehydrogenase [EC:1.2.1.26] | (RefSeq) semialdehyde dehydrogenase
00053	Ascorbate and aldarate metabolism	K00012	PA2022	UDPglucose 6-dehydrogenase [EC:1.1.1.22] | (RefSeq) UDP-glucose 6-dehydrogenase
00053	Ascorbate and aldarate metabolism	K13877	PA2217	2,5-dioxopentanoate dehydrogenase [EC:1.2.1.26] | (RefSeq) aldehyde dehydrogenase
00053	Ascorbate and aldarate metabolism	K00012	PA3559	UDPglucose 6-dehydrogenase [EC:1.1.1.22] | (RefSeq) nucleotide sugar dehydrogenase
00053	Ascorbate and aldarate metabolism	K00128	PA4899	aldehyde dehydrogenase (NAD+) [EC:1.2.1.3] | (RefSeq) aldehyde dehydrogenase
00061	Fatty acid biosynthesis	K00647	PA0098	3-oxoacyl-[acyl-carrier-protein] synthase I [EC:2.3.1.41] | (RefSeq) 3-oxoacyl-ACP synthase
00061	Fatty acid biosynthesis	K00059	PA0182	3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100] | (RefSeq) 3-ketoacyl-ACP reductase
00061	Fatty acid biosynthesis	K01961	PA0494	acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14] | (RefSeq) acetyl-Co
00061	Fatty acid biosynthesis	K09458	PA1373	3-oxoacyl-[acyl-carrier-protein] synthase II [EC:2.3.1.179] | (RefSeq) fabF2; 3-oxoacyl-ACP s
00061	Fatty acid biosynthesis	K00059	PA1470	3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100] | (RefSeq) short-chain dehydrogenas
00061	Fatty acid biosynthesis	K00647	PA1609	3-oxoacyl-[acyl-carrier-protein] synthase I [EC:2.3.1.41] | (RefSeq) fabB; 3-oxoacyl-ACP synt
00061	Fatty acid biosynthesis	K01716	PA1610	3-hydroxyacyl-[acyl-carrier protein] dehydratase / trans-2-decenoyl-[acyl-carrier protein] is
00061	Fatty acid biosynthesis	K00208	PA1806	enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10] | (RefSeq) fabI; NADH-dependen
00061	Fatty acid biosynthesis	K00059	PA1827	3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100] | (RefSeq) short-chain dehydrogenas
00061	Fatty acid biosynthesis	K00209	PA2950	enoyl-[acyl-carrier protein] reductase / trans-2-enoyl-CoA reductase (NAD+) [EC:1.3.1.9 1.3.1
00061	Fatty acid biosynthesis	K09458	PA2965	3-oxoacyl-[acyl-carrier-protein] synthase II [EC:2.3.1.179] | (RefSeq) fabF1; 3-oxoacyl-ACP s
00061	Fatty acid biosynthesis	K00059	PA2967	3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100] | (RefSeq) fabG; 3-oxoacyl-[acyl-ca
00061	Fatty acid biosynthesis	K00645	PA2968	[acyl-carrier-protein] S-malonyltransferase [EC:2.3.1.39] | (RefSeq) fabD; malonyl CoA-ACP tr
00061	Fatty acid biosynthesis	K01963	PA3112	acetyl-CoA carboxylase carboxyl transferase subunit beta [EC:6.4.1.2 2.1.3.15] | (RefSeq) acc
00061	Fatty acid biosynthesis	K01897	PA3299	long-chain acyl-CoA synthetase [EC:6.2.1.3] | (RefSeq) fadD1; long-chain-fatty-acid--CoA liga
00061	Fatty acid biosynthesis	K01897	PA3300	long-chain acyl-CoA synthetase [EC:6.2.1.3] | (RefSeq) fadD2; long-chain-fatty-acid--CoA liga
00061	Fatty acid biosynthesis	K00648	PA3333	3-oxoacyl-[acyl-carrier-protein] synthase III [EC:2.3.1.180] | (RefSeq) fabH2; 3-oxoacyl-ACP
00061	Fatty acid biosynthesis	K01962	PA3639	acetyl-CoA carboxylase carboxyl transferase subunit alpha [EC:6.4.1.2 2.1.3.15] | (RefSeq) ac
00061	Fatty acid biosynthesis	K02372	PA3645	3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:4.2.1.59] | (RefSeq) fabZ; 3-hydroxyacyl
00061	Fatty acid biosynthesis	K00059	PA4089	3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100] | (RefSeq) 3-ketoacyl-ACP reductase
00061	Fatty acid biosynthesis	K00059	PA4389	3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100] | (RefSeq) speA; 3-ketoacyl-ACP red
00061	Fatty acid biosynthesis	K00059	PA4786	3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100] | (RefSeq) 3-ketoacyl-ACP reductase
00061	Fatty acid biosynthesis	K02160	PA4847	acetyl-CoA carboxylase biotin carboxyl carrier protein | (RefSeq) accB; acetyl-CoA carboxylas
00061	Fatty acid biosynthesis	K01961	PA4848	acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14] | (RefSeq) accC; ace
00061	Fatty acid biosynthesis	K18473	PA5174	acetoacetyl-[acyl-carrier protein] synthase [EC:2.3.1.180] | (RefSeq) beta-ketoacyl synthase
00061	Fatty acid biosynthesis	K00059	PA5524	3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100] | (RefSeq) short-chain dehydrogenas
00071	Fatty acid degradation	K00252	PA0447	glutaryl-CoA dehydrogenase [EC:1.3.8.6] | (RefSeq) gcdH; glutaryl-CoA dehydrogenase
00071	Fatty acid degradation	K00249	PA0879	acyl-CoA dehydrogenase [EC:1.3.8.7] | (RefSeq) acyl-CoA dehydrogenase
00071	Fatty acid degradation	K00128	PA1027	aldehyde dehydrogenase (NAD+) [EC:1.2.1.3] | (RefSeq) aldehyde dehydrogenase
00071	Fatty acid degradation	K00496	PA1525	alkane 1-monooxygenase [EC:1.14.15.3] | (RefSeq) alkB2; alkane-1 monooxygenase
00071	Fatty acid degradation	K00249	PA1535	acyl-CoA dehydrogenase [EC:1.3.8.7] | (RefSeq) acyl-CoA dehydrogenase
00071	Fatty acid degradation	K01692	PA1629	enoyl-CoA hydratase [EC:4.2.1.17] | (RefSeq) enoyl-CoA hydratase
00071	Fatty acid degradation	K00626	PA1736	acetyl-CoA C-acetyltransferase [EC:2.3.1.9] | (RefSeq) acetyl-CoA acetyltransferase
00071	Fatty acid degradation	K01782	PA1737	3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase [EC:1.
00071	Fatty acid degradation	K01692	PA1748	enoyl-CoA hydratase [EC:4.2.1.17] | (RefSeq) enoyl-CoA hydratase
00071	Fatty acid degradation	K01692	PA1821	enoyl-CoA hydratase [EC:4.2.1.17] | (RefSeq) enoyl-CoA hydratase
00071	Fatty acid degradation	K00626	PA2001	acetyl-CoA C-acetyltransferase [EC:2.3.1.9] | (RefSeq) atoB; acetyl-CoA acetyltransferase
00071	Fatty acid degradation	K00249	PA2550	acyl-CoA dehydrogenase [EC:1.3.8.7] | (RefSeq) acyl-CoA dehydrogenase
00071	Fatty acid degradation	K00248	PA2552	butyryl-CoA dehydrogenase [EC:1.3.8.1] | (RefSeq) acyl-CoA dehydrogenase
00071	Fatty acid degradation	K00626	PA2553	acetyl-CoA C-acetyltransferase [EC:2.3.1.9] | (RefSeq) acyl-CoA thiolase
00071	Fatty acid degradation	K00496	PA2574	alkane 1-monooxygenase [EC:1.14.15.3] | (RefSeq) alkB1; alkane-1 monooxygenase
00071	Fatty acid degradation	K06445	PA2815	acyl-CoA dehydrogenase [EC:1.3.99.-] | (RefSeq) acyl-CoA dehydrogenase
00071	Fatty acid degradation	K00632	PA2940	acetyl-CoA acyltransferase [EC:2.3.1.16] | (RefSeq) acyl-CoA thiolase
00071	Fatty acid degradation	K00632	PA3013	acetyl-CoA acyltransferase [EC:2.3.1.16] | (RefSeq) foaB; 3-ketoacyl-CoA thiolase
00071	Fatty acid degradation	K01825	PA3014	3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase / enoy
