LocusId	TranscriptId	GeneName	FoldChange_Chronic	Pvalue_Chronic	KO_Id	COG_Id	COG_Category
PA0363	AAG03752	coaD	0.1	0.000048	K00954	COG0669	Coenzyme metabolism
PA0374	AAG03763	ftsE	0.23	0.0045	K09812	COG2884	Cell division and chromosome partitioning
PA0380	AAG03769	-	0.16	0.00026	K03154	COG2104	Coenzyme metabolism
PA0382	AAG03771	micA	0.21	0.00073	K03439	COG0220	General function prediction only
PA0390	AAG03779	metX	0.15	0.0000089	K00641	COG2021	Amino acid transport and metabolism
PA0408	AAG03797	pilG	0.21	0.00000024	K02657	COG0745	Signal transduction mechanisms / Transcription
PA0409	AAG03798	pilH	0.18	0.0000074	K02658	COG0745	Signal transduction mechanisms / Transcription
PA0410	AAG03799	pilI	0.21	0.0012	K02659	COG0835	Cell motility and secretion / Signal transduction mechanisms
PA0420	AAG03809	bioA	0.18	0.000041	K00833	COG0161	Coenzyme metabolism
PA0430	AAG03819	metF	0.18	0.00027	K00297	COG0685	Amino acid transport and metabolism
PA0456	AAG03845	-	0.13	4.5E-11	K03704	COG1278	Transcription
PA0485	AAG03874	-	0.2	0.0033	K05786	COG2962	General function prediction only
PA0527.1	PA0527.1-1	rsmY	0.18	7.3E-13	-	-	-
PA0542	AAG03931	-	0.16	0.0007	-	-	-
PA0548	AAG03937	tktA	0.21	0.00000034	K00615	COG0021	Carbohydrate transport and metabolism
PA0551	AAG03940	-	0.1	0.00000019	K03472	COG0057	Carbohydrate transport and metabolism
PA0552	AAG03941	-	0.18	0.00000036	K00927	COG0126	Carbohydrate transport and metabolism
PA0554	AAG03943	-	0.23	0.000045	-	-	-
PA0579	AAG03968	rpsU	0.08	3.2E-15	K02970	COG0828	Translation, ribosomal structure and biogenesis
PA0580	AAG03969	-	0.13	0.000045	K01409	COG0533	Posttranslational modification, protein turnover, chaperones
PA0582	AAG03971	folB	0.09	0.000027	K01633	COG1539	Coenzyme metabolism
PA0583	AAG03972	-	0.18	0.0066	K00950	COG0801	Coenzyme metabolism
PA0604	AAG03993	-	0.19	0.0002	K02055	COG0687	Amino acid transport and metabolism
PA0607	AAG03996	-	0.17	0.0007	K01783	COG0036	Carbohydrate transport and metabolism
PA0608	AAG03997	-	0.17	0.000026	K01091	COG0546	General function prediction only
PA0609	AAG03998	trpE	0.17	0.0000005	K01657	COG0147	Amino acid transport and metabolism / Coenzyme metabolism
PA0614	AAG04003	-	0.22	0.00047	-	-	-
PA0619	AAG04008	-	0.2	0.0049	-	COG4385	General function prediction only
PA0628	AAG04017	-	0.21	0.00026	K06905	COG3500	General function prediction only
PA0632	AAG04021	-	0.18	0.0028	-	-	-
PA0636	AAG04025	-	0.18	0.000000034	-	COG5281	Function unknown
PA0644	AAG04033	-	0.16	0.0007	-	-	-
PA0648	AAG04037	-	0.25	0.0049	-	-	-
PA0649	AAG04038	trpG	0.23	0.0013	K01658	COG0512	Amino acid transport and metabolism / Coenzyme metabolism
PA0650	AAG04039	trpD	0.17	0.00000023	K00766	COG0547	Amino acid transport and metabolism
PA0654	AAG04043	speD	0.08	0.00000048	K01611	COG1586	Amino acid transport and metabolism
PA0668	AAG04057	tyrZ	0.15	1.2E-10	K01866	COG0162	Translation, ribosomal structure and biogenesis
PA0705	AAG04094	migA	0.17	0.0000099	K12987	COG1215	Cell envelope biogenesis, outer membrane
PA0760	AAG04149	-	0.07	1.6E-11	K09159	COG2938	Function unknown
PA0767	AAG04156	lepA	0.14	0.00000035	K03596	COG0481	Cell envelope biogenesis, outer membrane
PA0768	AAG04157	lepB	0.24	0.000075	K03100	COG0681	Intracellular trafficking and secretion
PA0769	AAG04158	-	0.24	0.0013	-	-	-
PA0770	AAG04159	-	0.13	0.000011	K03685	COG0571	Transcription
PA0771	AAG04160	-	0.15	0.000001	K03595	COG1159	General function prediction only
PA0773	AAG04162	pdxJ	0.19	0.0065	K03474	COG0854	Coenzyme metabolism
PA0820	AAG04209	-	0.22	0.000071	K07453	COG3183	Defense mechanisms
PA0826.2	PA0826.2-1	-	0.16	6.6E-13	-	-	-
PA0837	AAG04226	slyD	0.18	8.2E-09	K03775	COG1047	Posttranslational modification, protein turnover, chaperones
PA0888	AAG04277	aotJ	0.25	0.0006	K10022	COG0834	Amino acid transport and metabolism / Signal transduction mechanisms
PA0903	AAG04292	alaS	0.15	2.6E-10	K01872	COG0013	Translation, ribosomal structure and biogenesis
PA0904	AAG04293	lysC	0.17	0.000000037	K00928	COG0527	Amino acid transport and metabolism
PA0916	AAG04305	-	0.19	0.00024	K14441	COG0621	Translation, ribosomal structure and biogenesis
PA0932	AAG04321	cysM	0.2	0.00069	K12339	COG0031	Amino acid transport and metabolism
PA0937	AAG04326	-	0.2	0.000057	K09912	COG3122	Function unknown
PA0938	AAG04327	-	0.22	0.0000056	-	COG3765	Cell envelope biogenesis, outer membrane
PA0945	AAG04334	purM	0.14	0.0000063	K01933	COG0150	Nucleotide transport and metabolism
PA0947	AAG04336	-	0.18	0.0015	K10763	COG0593	DNA replication, recombination, and repair
PA0948	AAG04337	-	0.09	0.0033	-	COG3308	Function unknown
PA0955	AAG04344	-	0.23	0.0011	-	-	-
PA0956	AAG04345	proS	0.15	0.000000032	K01881	COG0442	Translation, ribosomal structure and biogenesis
PA0958	AAG04347	oprD	0.1	3.2E-16	-	-	-
PA0963	AAG04352	aspS	0.2	0.000000056	K01876	COG0173	Translation, ribosomal structure and biogenesis
PA0964	AAG04353	pmpR	0.12	1.2E-11	-	COG0217	Function unknown
PA0965	AAG04354	ruvC	0.08	0.000012	K01159	COG0817	DNA replication, recombination, and repair
PA0966	AAG04355	ruvA	0.16	0.00012	K03550	COG0632	DNA replication, recombination, and repair
PA0967	AAG04356	ruvB	0.22	0.0002	K03551	COG2255	DNA replication, recombination, and repair
PA0970	AAG04359	tolR	0.25	0.00092	K03560	COG0848	Intracellular trafficking and secretion
PA0972	AAG04361	tolB	0.19	0.00000011	K03641	COG0823	Intracellular trafficking and secretion
PA0973	AAG04362	oprL	0.14	3.2E-12	K03640	COG2885	Cell envelope biogenesis, outer membrane
PA0982	AAG04371	-	0.23	0.0039	-	COG1651	Posttranslational modification, protein turnover, chaperones
PA0988	AAG04377	-	0.21	0.0024	K07107	COG0824	General function prediction only
PA1007	AAG04396	-	0.16	0.000032	K03548	COG0628	General function prediction only
PA1008	AAG04397	-	0.16	0.00000014	K03564	COG1225	Posttranslational modification, protein turnover, chaperones
PA1010	AAG04399	dapA	0.21	0.0000083	K01714	COG0329	Amino acid transport and metabolism / Cell envelope biogenesis, outer membrane
PA1011	AAG04400	-	0.16	0.000000042	K07287	COG3317	Cell envelope biogenesis, outer membrane
PA1012	AAG04401	-	0.16	0.0000007	-	COG1235	General function prediction only
PA1013	AAG04402	purC	0.11	1.7E-12	K01923	COG0152	Nucleotide transport and metabolism
PA1047	AAG04436	-	0.2	0.0051	-	COG1680	Defense mechanisms
PA1070	AAG04459	braG	0.21	0.0049	K01996	COG0410	Amino acid transport and metabolism
PA1071	AAG04460	braF	0.06	0.0095	K01995	COG0411	Amino acid transport and metabolism
PA1072	AAG04461	braE	0.16	0.0039	K01998	COG4177	Amino acid transport and metabolism
PA1079	AAG04468	flgD	0.25	0.0025	K02389	COG1843	Cell motility and secretion
PA1081	AAG04470	flgF	0.09	0.0000013	K02391	COG4787	Cell motility and secretion
PA1082	AAG04471	flgG	0.25	0.00051	K02392	COG4786	Cell motility and secretion
PA1088	AAG04477	-	0.2	0.0007	-	COG4106	General function prediction only
PA1089	AAG04478	-	0.2	0.0023	-	COG0560	Amino acid transport and metabolism
PA1156	AAG04545	nrdA	0.24	0.000022	K00525	COG0209	Nucleotide transport and metabolism
PA1159	AAG04548	-	0.21	0.0000017	K03704	COG1278	Transcription
PA1183	AAG04572	dctA	0.09	1E-11	K11103	COG1301	Energy production and conversion
PA1271	AAG04660	-	0.2	0.001	K16092	COG4206	Coenzyme metabolism
PA1337	AAG04726	ansB	0.13	0.0024	K05597	COG0252	Amino acid transport and metabolism / Translation, ribosomal structure and biogenesis
PA1338	AAG04727	-	0.16	0.0022	K00681	COG0405	Amino acid transport and metabolism
PA1339	AAG04728	-	0.08	0.000076	K10004	COG1126	Amino acid transport and metabolism
PA1340	AAG04729	-	0.07	0.00062	K10002	COG0765	Amino acid transport and metabolism
PA1341	AAG04730	-	0.12	0.0097	K10003	COG0765	Amino acid transport and metabolism
PA1342	AAG04731	-	0.08	0.0011	K10001	COG0834	Amino acid transport and metabolism / Signal transduction mechanisms
PA1371	AAG04760	-	0.23	0.003	-	COG5619	Function unknown
PA1456	AAG04845	cheY	0.13	2.9E-09	K03413	COG0784	Signal transduction mechanisms
PA1462	AAG04851	-	0.25	0.0016	K03496	COG1192	Cell division and chromosome partitioning
PA1464	AAG04853	-	0.15	0.0000016	K03408	COG0835	Cell motility and secretion / Signal transduction mechanisms
PA1479	AAG04868	ccmE	0.18	0.0024	K02197	COG2332	Posttranslational modification, protein turnover, chaperones
PA1481	AAG04870	ccmG	0.24	0.0054	K02199	COG0526	Posttranslational modification, protein turnover, chaperones / Energy production and conversion
PA1493	AAG04882	cysP	0.09	1.2E-13	K02048	COG1613	Inorganic ion transport and metabolism
PA1505	AAG04894	-	0.19	0.0002	K03639	COG2896	Coenzyme metabolism
PA1526	AAG04915	-	0.19	0.000024	-	COG1802	Transcription
PA1530	AAG04919	-	0.16	0.00065	-	-	-
PA1533	AAG04922	-	0.12	0.0000038	K09747	COG0718	Function unknown
PA1552.1	ADN93059	-	0.1	1.5E-09	K00407	COG4736	Posttranslational modification, protein turnover, chaperones
PA1553	AAG04942	-	0.1	2E-13	K00405	COG2993	Energy production and conversion
PA1554	AAG04943	-	0.13	1.4E-11	K00404	COG3278	Posttranslational modification, protein turnover, chaperones
PA1581	AAG04970	sdhC	0.1	0.000027	K00241	COG2009	Energy production and conversion
PA1582	AAG04971	sdhD	0.1	9.4E-12	K00242	COG2142	Energy production and conversion
PA1583	AAG04972	sdhA	0.11	5.8E-15	K00239	COG1053	Energy production and conversion
PA1584	AAG04973	sdhB	0.1	3.9E-16	K00240	COG0479	Energy production and conversion
PA1585	AAG04974	sucA	0.16	8.7E-11	K00164	COG0567	Energy production and conversion
PA1586	AAG04975	sucB	0.19	0.00000013	K00658	COG0508	Energy production and conversion
PA1587	AAG04976	lpdG	0.12	9.2E-13	K00382	COG1249	Energy production and conversion
PA1588	AAG04977	sucC	0.09	4.1E-18	K01903	COG0045	Energy production and conversion
PA1589	AAG04978	sucD	0.1	3.7E-14	K01902	COG0074	Energy production and conversion
PA1590	AAG04979	braB	0.24	0.0012	K03311	COG1114	Amino acid transport and metabolism
PA1609	AAG04998	fabB	0.08	3.7E-16	K00647	COG0304	Lipid metabolism / Secondary metabolites biosynthesis, transport, and catabolism
PA1610	AAG04999	fabA	0.08	1.2E-13	K01716	COG0764	Lipid metabolism
PA1632	AAG05021	kdpF	0.06	0.0000045	K01545	-	-
PA1674	AAG05063	-	0.2	0.000013	K01495	COG0302	Coenzyme metabolism
PA1678	AAG05067	-	0.11	0.00006	K07320	COG2890	Translation, ribosomal structure and biogenesis
PA1683	AAG05072	-	0.2	0.0022	K08964	COG0235	Carbohydrate transport and metabolism
PA1687	AAG05076	speE	0.12	0.0000037	K00797	COG0421	Amino acid transport and metabolism
PA1688	AAG05077	-	0.19	0.0000096	-	COG3391	Function unknown
PA1766	AAG05155	-	0.09	5.2E-13	-	-	-
PA1767	AAG05156	-	0.17	0.0000063	-	-	-
PA1768	AAG05157	-	0.25	0.0011	-	COG4067	Posttranslational modification, protein turnover, chaperones
PA1770	AAG05159	ppsA	0.24	0.0000003	K01007	COG0574	Carbohydrate transport and metabolism
PA1774	AAG05163	crfX	0.21	0.001	-	-	-
PA1775	AAG05164	cmpX	0.17	0.000000035	-	-	-
PA1776	AAG05165	sigX	0.18	4.9E-09	K03088	COG1595	Transcription
PA1777	AAG05166	oprF	0.13	4E-15	K03286	COG2885	Cell envelope biogenesis, outer membrane
PA1793	AAG05182	ppiB	0.14	0.0000096	K03768	COG0652	Posttranslational modification, protein turnover, chaperones
PA1794	AAG05183	glnS	0.22	0.0000062	K01886	COG0008	Translation, ribosomal structure and biogenesis
PA1795	AAG05184	cysS	0.14	0.000000015	K01883	COG0215	Translation, ribosomal structure and biogenesis
PA1800	AAG05189	-	0.1	2.7E-17	K03545	COG0544	Posttranslational modification, protein turnover, chaperones
PA1804	AAG05193	hupB	0.05	6E-15	K03530	COG0776	DNA replication, recombination, and repair
PA1805	AAG05194	ppiD	0.15	6.7E-10	K03770	COG0760	Posttranslational modification, protein turnover, chaperones
PA1821	AAG05210	-	0.25	0.00054	K01692	COG1024	Lipid metabolism
PA1823	AAG05212	-	0.19	0.003	K03426	COG2816	DNA replication, recombination, and repair
PA1830	AAG05219	-	0.21	0.0000043	-	COG3255	Lipid metabolism
PA1832	AAG05221	-	0.23	0.0000026	K04774	COG0616	Posttranslational modification, protein turnover, chaperones / Intracellular trafficking and secretion
PA1837	AAG05226	-	0.09	0.0000032	-	COG3749	Function unknown
PA1838	AAG05227	cysI	0.05	0.000000013	K00381	COG0155	Inorganic ion transport and metabolism
PA1843	AAG05232	metH	0.15	8.6E-10	K00548	COG1410	Amino acid transport and metabolism
PA1913	AAG05301	-	0.07	0.00007	-	-	-
PA1939	AAG05327	-	0.18	0.000000084	-	COG3593	DNA replication, recombination, and repair
PA1963	AAG05351	-	0.19	0.00026	-	-	-
PA1964	AAG05352	-	0.23	0.00048	-	COG0488	General function prediction only
PA2204	AAG05592	-	0.18	0.00032	K02030	COG0834	Amino acid transport and metabolism / Signal transduction mechanisms
PA2231	AAG05619	pslA	0.24	0.000014	-	COG2148	Cell envelope biogenesis, outer membrane
PA2232	AAG05620	pslB	0.19	0.00018	K00971	COG0836	Cell envelope biogenesis, outer membrane
PA2233	AAG05621	pslC	0.1	0.0024	K12992	COG1216	General function prediction only
PA2234	AAG05622	pslD	0.1	0.000033	-	COG1596	Cell wall/membrane/envelope biogenesis
PA2235	AAG05623	pslE	0.17	0.0000038	-	COG3206	Cell envelope biogenesis, outer membrane
PA2236	AAG05624	pslF	0.21	0.0092	-	COG0438	Cell envelope biogenesis, outer membrane
PA2240	AAG05628	pslJ	0.15	0.00041	-	-	-
PA2242	AAG05630	pslL	0.16	0.0067	-	COG3594	Carbohydrate transport and metabolism
PA2463	AAG05851	-	0.12	0.000014	-	COG2831	Intracellular trafficking and secretion
PA2464	AAG05852	-	0.19	0.0011	-	-	-
PA2501	AAG05889	-	0.21	0.00034	-	-	-
PA2532	AAG05920	-	0.25	0.0083	K11065	COG2077	Posttranslational modification, protein turnover, chaperones
PA2536	AAG05924	-	0.18	0.0025	K00981	COG4589	General function prediction only
PA2540	AAG05928	-	0.19	0.002	-	COG2267	Lipid metabolism
PA2543	AAG05931	-	0.21	0.00028	K07278	COG0729	Cell envelope biogenesis, outer membrane
PA2560	AAG05948	-	0.08	0.000013	-	-	-
PA2582	AAG05970	-	0.11	2.4E-11	K03607	COG3109	Signal transduction mechanisms
PA2619	AAG06007	infA	0.12	0.000000018	K02518	COG0361	Translation, ribosomal structure and biogenesis
PA2624	AAG06012	-	0.22	0.000019	K00031	COG2838	Energy production and conversion
PA2638	AAG06026	nuoB	0.25	0.00001	K00331	COG0377	Energy production and conversion
PA2640	AAG06028	nuoE	0.16	0.000022	K00334	COG1905	Energy production and conversion
PA2641	AAG06029	nuoF	0.12	4.2E-10	K00335	COG1894	Energy production and conversion
PA2647	AAG06035	nuoL	0.2	0.000088	K00341	COG1009	Energy production and conversion / Inorganic ion transport and metabolism
PA2667	AAG06055	-	0.22	0.00002	-	-	-
PA2730	AAG06118	-	0.19	0.00042	K09805	COG2958	Function unknown
PA2731	AAG06119	-	0.18	0.000084	-	-	-
PA2733	AAG06121	-	0.2	0.0002	-	COG3943	General function prediction only
PA2734	AAG06122	-	0.23	0.000032	K01154	COG0732	Defense mechanisms
PA2735	AAG06123	-	0.24	0.000002	K03427	COG0286	Defense mechanisms
PA2741	AAG06129	rplT	0.1	3.9E-19	K02887	COG0292	Translation, ribosomal structure and biogenesis
PA2742	AAG06130	rpmI	0.17	4.3E-10	K02916	COG0291	Translation, ribosomal structure and biogenesis
PA2743	AAG06131	infC	0.09	4.8E-18	K02520	COG0290	Translation, ribosomal structure and biogenesis
PA2744	AAG06132	thrS	0.16	5.4E-09	K01868	COG0441	Translation, ribosomal structure and biogenesis
PA2755	AAG06143	-	0.18	0.000012	K08276	COG4574	General function prediction only
PA2760	AAG06148	-	0.09	3.3E-18	-	-	-
PA2765	AAG06153	-	0.25	0.0033	K07223	COG2837	Inorganic ion transport and metabolism
PA2800	AAG06188	-	0.21	0.000012	K04754	COG2853	Cell envelope biogenesis, outer membrane
PA2805	AAG06193	-	0.17	0.0000013	-	-	-
PA2851	AAG06239	-	0.08	1.9E-12	K02356	COG0231	Translation, ribosomal structure and biogenesis
PA2853	AAG06241	oprI	0.19	4.4E-10	-	-	-
PA2867	AAG06255	-	0.18	0.00027	-	COG0840	Cell motility and secretion / Signal transduction mechanisms
PA2950	AAG06338	-	0.18	9.7E-09	K00209	COG3007	Function unknown
PA2952	AAG06340	etfB	0.23	0.000002	K03521	COG2086	Energy production and conversion
PA2957	AAG06345	-	0.16	0.0000077	-	COG1309	Transcription
PA2959	AAG06347	-	0.19	0.00038	K03424	COG0084	DNA replication, recombination, and repair
PA2960	AAG06348	pilZ	0.21	0.000069	K02676	COG3215	Cell motility and secretion / Intracellular trafficking and secretion
PA2964	AAG06352	pabC	0.17	0.0001	K02619	COG0115	Amino acid transport and metabolism / Coenzyme metabolism
PA2965	AAG06353	-	0.17	0.0000016	K09458	COG0304	Lipid metabolism / Secondary metabolites biosynthesis, transport, and catabolism
PA2966	AAG06354	acpP	0.04	2.4E-33	K02078	COG0236	Lipid metabolism / Secondary metabolites biosynthesis, transport, and catabolism
PA2967	AAG06355	fabG	0.09	1.3E-16	K00059	COG1028	Secondary metabolites biosynthesis, transport, and catabolism / General function prediction only
PA2968	AAG06356	fabD	0.08	5.2E-12	K00645	COG0331	Lipid metabolism
PA2969	AAG06357	plsX	0.15	0.00000094	K03621	COG0416	Lipid metabolism
PA2970	AAG06358	rpmF	0.06	2.9E-19	K02911	COG0333	Translation, ribosomal structure and biogenesis
PA2971	AAG06359	-	0.1	6.2E-12	K07040	COG1399	General function prediction only
PA2973	AAG06361	-	0.23	0.00025	K04773	COG0616	Posttranslational modification, protein turnover, chaperones / Intracellular trafficking and secretion
PA2975	AAG06363	rluC	0.23	0.000044	K06179	COG0564	Translation, ribosomal structure and biogenesis
PA2976	AAG06364	-	0.16	0.000000001	K08300	COG1530	Translation, ribosomal structure and biogenesis
PA2982	AAG06370	-	0.2	0.003	K03559	COG0848	Intracellular trafficking and secretion
PA2986	AAG06374	-	0.17	0.00000083	K09808	COG4591	Cell envelope biogenesis, outer membrane
PA2992	AAG06380	-	0.12	0.0052	K05952	COG2991	Function unknown
PA2994	AAG06382	nqrF	0.14	0.000000089	K00351	COG2871	Energy production and conversion
PA2996	AAG06384	nqrD	0.21	0.00064	K00349	COG1347	Energy production and conversion
PA3001	AAG06389	-	0.15	0.00063	K00134	COG0057	Carbohydrate transport and metabolism
PA3011	AAG06399	topA	0.23	0.000064	K03168	COG0550	DNA replication, recombination, and repair
PA3085	AAG06473	-	0.18	0.0049	K09916	COG3139	Function unknown
PA3088	AAG06476	-	0.14	0.00088	K00858	COG0061	Coenzyme metabolism
PA3108	AAG06496	purF	0.16	0.000000078	K00764	COG0034	Nucleotide transport and metabolism
PA3109	AAG06497	-	0.23	0.00092	K03558	COG1286	General function prediction only
PA3110	AAG06498	-	0.18	0.00028	K03749	COG3147	Function unknown
PA3111	AAG06499	folC	0.11	2.8E-11	K11754	COG0285	Coenzyme metabolism
PA3112	AAG06500	accD	0.09	3.9E-15	K01963	COG0777	Lipid metabolism
PA3116	AAG06504	-	0.1	7.6E-11	-	COG0136	Amino acid transport and metabolism
PA3117	AAG06505	-	0.19	0.00000066	K00133	COG0136	Amino acid transport and metabolism
PA3118	AAG06506	leuB	0.11	3.5E-10	K00052	COG0473	Amino acid transport and metabolism
PA3134	AAG06522	gltX	0.18	0.0000043	K01885	COG0008	Translation, ribosomal structure and biogenesis
PA3139	AAG06527	-	0.17	0.00000046	K00832	COG1448	Amino acid transport and metabolism
PA3143	AAG06531	-	0.16	0.0013	K07497	-	-
PA3144	AAG06532	-	0.16	0.000002	K07497	-	-
PA3146	AAG06534	wbpK	0.17	0.0000005	-	COG0451	Cell envelope biogenesis, outer membrane / Carbohydrate transport and metabolism
PA3147	AAG06535	wbpJ	0.12	5.3E-12	-	COG0438	Cell envelope biogenesis, outer membrane
PA3148	AAG06536	wbpI	0.1	1.1E-14	K13019	COG0381	Cell envelope biogenesis, outer membrane
PA3149	AAG06537	wbpH	0.08	2.6E-14	-	COG0438	Cell envelope biogenesis, outer membrane
PA3150	AAG06538	wbpG	0.1	1.2E-13	-	COG0037	Cell cycle control, cell division, chromosome partitioning
PA3151	AAG06539	-	0.06	4E-18	K02500	COG0107	Amino acid transport and metabolism
PA3152	AAG06540	-	0.14	0.0000065	K02501	COG0118	Amino acid transport and metabolism
PA3153	AAG06541	-	0.13	5.8E-09	-	COG2244	General function prediction only
PA3154	AAG06542	-	0.15	3.1E-10	-	-	-
PA3155	AAG06543	wbpE	0.13	1.1E-11	K13017	COG0399	Cell envelope biogenesis, outer membrane
PA3156	AAG06544	wbpD	0.12	4.3E-09	K13018	COG1045	Amino acid transport and metabolism
PA3157	AAG06545	-	0.22	0.000016	-	COG1835	Lipid metabolism
PA3158	AAG06546	wbpB	0.12	6.9E-13	K13016	COG0673	General function prediction only
PA3159	AAG06547	wbpA	0.2	0.000000051	K13015	COG0677	Cell envelope biogenesis, outer membrane
PA3162	AAG06550	rpsA	0.08	1E-21	K02945	COG0539	Translation, ribosomal structure and biogenesis
PA3163	AAG06551	-	0.13	0.0000088	K00945	COG0283	Nucleotide transport and metabolism
PA3165	AAG06553	-	0.25	0.0013	K00817	COG0079	Amino acid transport and metabolism
PA3166	AAG06554	pheA	0.24	0.0011	K14170	COG0077	Amino acid transport and metabolism
PA3167	AAG06555	serC	0.19	0.0000012	K00831	COG1932	Coenzyme metabolism / Amino acid transport and metabolism
PA3168	AAG06556	gyrA	0.13	4E-11	K02469	COG0188	DNA replication, recombination, and repair
PA3169	AAG06557	-	0.17	0.0025	K08963	COG0182	Translation, ribosomal structure and biogenesis
PA3185	AAG06573	-	0.2	0.0003	-	COG0676	Carbohydrate transport and metabolism
PA3242	AAG06630	-	0.17	0.00057	K02517	COG1560	Cell envelope biogenesis, outer membrane
PA3244	AAG06632	minD	0.13	1.1E-11	K03609	COG2894	Cell division and chromosome partitioning
PA3245	AAG06633	minE	0.11	1.7E-12	K03608	COG0851	Cell division and chromosome partitioning
PA3247	AAG06635	-	0.2	0.0053	K01269	COG1362	Amino acid transport and metabolism
PA3255	AAG06643	-	0.14	0.00025	-	COG0560	Amino acid transport and metabolism
PA3262	AAG06650	-	0.2	0.0000014	K03773	COG0545	Posttranslational modification, protein turnover, chaperones
PA3266	AAG06654	capB	0.06	7.3E-18	K03704	COG1278	Transcription
PA3286	AAG06674	-	0.22	0.0022	K16872	COG0332	acyl-carrier-protein
PA3295	AAG06683	-	0.12	0.0032	K02503	COG0537	Nucleotide transport and metabolism / Carbohydrate transport and metabolism / General function prediction only
PA3301	AAG06689	-	0.06	2.1E-09	-	COG2267	Lipid metabolism
PA3308	AAG06696	hepA	0.19	0.000037	K03580	COG0553	Transcription / DNA replication, recombination, and repair
PA3337	AAG06725	rfaD	0.23	0.000015	K03274	COG0451	Cell envelope biogenesis, outer membrane / Carbohydrate transport and metabolism
PA3343	AAG06731	-	0.25	0.0019	-	COG3706	Signal transduction mechanisms
PA3344	AAG06732	recQ	0.25	0.002	K03654	COG0514	DNA replication, recombination, and repair
PA3353	AAG06741	-	0.17	0.0000009	-	COG5581	Signal transduction mechanisms
